id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
1567866,zalando/spring-cloud-config-aws-kms,FALSE,292,12,26,33,Java,master,Apache License 2.0,,23,109,19,434,2015-01-07T04:39:36,2025-02-04T07:53:49,2025-02-04T07:53:51,34,0,146,7,373,1550,83,"[{""codeLines"":103,""commentLines"":9,""language"":""YAML"",""blankLines"":13},{""codeLines"":17,""commentLines"":0,""language"":""XML"",""blankLines"":0},{""codeLines"":215,""commentLines"":63,""language"":""Bourne Shell"",""blankLines"":30},{""codeLines"":282,""commentLines"":0,""language"":""Markdown"",""blankLines"":112},{""codeLines"":2,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":353,""commentLines"":8,""language"":""Maven"",""blankLines"":49},{""codeLines"":169,""commentLines"":0,""language"":""DOS Batch"",""blankLines"":36},{""codeLines"":409,""commentLines"":3,""language"":""Java"",""blankLines"":133}]",2025-02-04T07:53:47,592c6bf2709aaf57e0f062a70c88fa591ea7b3bf,FALSE,FALSE,FALSE,FALSE,"{""Java"":18833,""Shell"":80}",architectural;bug;bugfix;dependencies;documentation;duplicate;enhancement;help wanted;invalid;major;minor;question;security;stale;wontfix,aws;aws-kms;cloud;java;spring;spring-boot;spring-boot-3;spring-boot-starter;spring-cloud;spring-cloud-aws
1775891,neykov/extract-tls-secrets,FALSE,64,3,4,70,Java,master,Apache License 2.0,,9,397,4,116,2015-03-02T08:15:05,2024-10-13T11:29:30,2024-10-14T04:14:45,20,5,4,0,201,1118,83,"[{""codeLines"":68,""commentLines"":0,""language"":""Markdown"",""blankLines"":33},{""codeLines"":141,""commentLines"":8,""language"":""Bourne Shell"",""blankLines"":45},{""codeLines"":13,""commentLines"":0,""language"":""YAML"",""blankLines"":4},{""codeLines"":221,""commentLines"":7,""language"":""Maven"",""blankLines"":12},{""codeLines"":636,""commentLines"":67,""language"":""Java"",""blankLines"":100},{""codeLines"":26,""commentLines"":1,""language"":""Dockerfile"",""blankLines"":7},{""codeLines"":13,""commentLines"":0,""language"":""XML"",""blankLines"":0}]",2024-04-26T06:13:54,ebb6e6e2e30b837829d45188d30f6777994c4dd0,FALSE,FALSE,FALSE,FALSE,"{""Java"":31561,""Shell"":6344}",bug;duplicate;enhancement;help wanted;invalid;question;wontfix,decrypt;https;java;ssl;tls;wireshark
1875051,mybatis/redis-cache,FALSE,605,3,3,218,Java,master,Apache License 2.0,http://mybatis.github.io/redis-cache,60,412,15,1882,2015-03-19T05:13:40,2025-02-25T09:14:44,2025-02-25T09:14:27,25,3,273,2,367,1664,582,"[{""codeLines"":44,""commentLines"":12,""language"":""Velocity Template Language"",""blankLines"":13},{""codeLines"":239,""commentLines"":63,""language"":""Bourne Shell"",""blankLines"":30},{""codeLines"":49,""commentLines"":53,""language"":""XML"",""blankLines"":29},{""codeLines"":17,""commentLines"":52,""language"":""Properties"",""blankLines"":4},{""codeLines"":181,""commentLines"":1,""language"":""YAML"",""blankLines"":19},{""codeLines"":12,""commentLines"":0,""language"":""Markdown"",""blankLines"":5},{""codeLines"":6,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":170,""commentLines"":0,""language"":""DOS Batch"",""blankLines"":36},{""codeLines"":121,""commentLines"":19,""language"":""Maven"",""blankLines"":21},{""codeLines"":825,""commentLines"":382,""language"":""Java"",""blankLines"":210}]",2025-02-25T09:14:22,158ad6cf94a52713559aba887a41c8ea07968ef9,FALSE,FALSE,FALSE,FALSE,"{""Java"":39456}",bug;dependencies;duplicate;enhancement;github_actions;help wanted;invalid;java;question;wontfix,cache;java;redis
2055675,melloware/jintellitype,FALSE,174,2,2,41,Java,master,Apache License 2.0,,7,171,6,589,2015-04-21T06:32:14,2025-01-02T02:52:56,2025-01-07T03:46:16,34,2,120,0,447,2439,794,"[{""codeLines"":561,""commentLines"":0,""language"":""XML"",""blankLines"":78},{""codeLines"":26,""commentLines"":5,""language"":""Windows Resource File"",""blankLines"":4},{""codeLines"":425,""commentLines"":4,""language"":""Maven"",""blankLines"":0},{""codeLines"":78,""commentLines"":0,""language"":""Markdown"",""blankLines"":36},{""codeLines"":120,""commentLines"":69,""language"":""C/C++ Header"",""blankLines"":62},{""codeLines"":1,""commentLines"":0,""language"":""ASP.NET"",""blankLines"":0},{""codeLines"":7,""commentLines"":5,""language"":""YAML"",""blankLines"":2},{""codeLines"":308,""commentLines"":169,""language"":""C++"",""blankLines"":101},{""codeLines"":754,""commentLines"":528,""language"":""Java"",""blankLines"":132},{""codeLines"":9,""commentLines"":14,""language"":""Properties"",""blankLines"":6},{""codeLines"":150,""commentLines"":0,""language"":""Text"",""blankLines"":26}]",2025-01-02T02:52:48,48d2060a7abf58e749003d6c62ad0051d20f7e47,FALSE,FALSE,FALSE,FALSE,"{""Java"":51426,""C++"":21078,""C"":1490,""ASP.NET"":80}",auto-migrated;bug;dependencies;duplicate;enhancement;help wanted;invalid;priority-medium;question;type-defect;wontfix,cpp;global-hotkeys;java;jni-wrapper
2911557,jonathanlink/pdflayouttextstripper,FALSE,49,2,8,212,Java,master,Apache License 2.0,https://jonathanlink.ch/PDFLayoutTextStripper.html,53,1510,4,22135,2015-10-11T10:49:10,2023-12-17T05:19:17,2024-01-03T02:12:52,32,17,16,5,101,565,46,"[{""codeLines"":131,""commentLines"":0,""language"":""Maven"",""blankLines"":4},{""codeLines"":61,""commentLines"":0,""language"":""Markdown"",""blankLines"":14},{""codeLines"":373,""commentLines"":46,""language"":""Java"",""blankLines"":83}]",2021-09-07T10:28:55,86ef5e1af56929576bf55d4a26527bd02d61b63e,TRUE,FALSE,FALSE,FALSE,"{""Java"":18345}",bug;dependencies;duplicate;enhancement;help wanted;invalid;question;wontfix,data-extraction;extract;java;layout;pdf;pdfbox;text
3260009,wechatpay-apiv3/certificatedownloader,FALSE,27,1,1,68,Java,master,MIT License,,5,203,3,3840,2019-07-25T12:06:23,2023-08-30T02:43:04,2023-08-28T05:27:33,16,0,3,0,123,432,37,"[{""codeLines"":46,""commentLines"":2,""language"":""YAML"",""blankLines"":9},{""codeLines"":58,""commentLines"":0,""language"":""Markdown"",""blankLines"":38},{""codeLines"":82,""commentLines"":0,""language"":""Maven"",""blankLines"":7},{""codeLines"":246,""commentLines"":35,""language"":""Java"",""blankLines"":69}]",2023-08-30T02:43:04,4cae9c9f472cf3200f7b9af99c8be532621a9d22,TRUE,FALSE,FALSE,FALSE,"{""Java"":11830}",bug;dependencies;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,certificate;command-line;java;wechat;wechat-pay
3260580,paulschwarz/spring-dotenv,FALSE,43,2,20,22,Java,master,MIT License,,6,242,5,182,2020-02-23T02:35:03,2023-10-16T09:30:33,2023-11-06T05:39:59,19,5,8,2,337,1223,155,"[{""codeLines"":136,""commentLines"":0,""language"":""Markdown"",""blankLines"":69},{""codeLines"":190,""commentLines"":0,""language"":""Gradle"",""blankLines"":32},{""codeLines"":99,""commentLines"":14,""language"":""XML"",""blankLines"":17},{""codeLines"":68,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":21},{""codeLines"":98,""commentLines"":8,""language"":""YAML"",""blankLines"":9},{""codeLines"":103,""commentLines"":109,""language"":""Bourne Shell"",""blankLines"":28},{""codeLines"":529,""commentLines"":22,""language"":""Java"",""blankLines"":161}]",2023-05-10T12:31:02,5b8cb3b8e5bc73b43bc47e2c27159078cbd1c252,TRUE,FALSE,FALSE,FALSE,"{""Java"":14983,""Shell"":80}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,config;dotenv;environment-variables;java;spring;springboot
3263500,pig-mesh/idempotent-spring-boot-starter,FALSE,74,2,7,72,Java,master,Apache License 2.0,,8,148,6,583,2020-09-25T10:15:56,2024-12-21T01:36:32,2024-12-21T08:07:42,6,0,5,0,201,1001,169,"[{""codeLines"":241,""commentLines"":9,""language"":""Maven"",""blankLines"":9},{""codeLines"":83,""commentLines"":0,""language"":""Markdown"",""blankLines"":42},{""codeLines"":59,""commentLines"":2,""language"":""YAML"",""blankLines"":8},{""codeLines"":195,""commentLines"":60,""language"":""Bourne Shell"",""blankLines"":31},{""codeLines"":129,""commentLines"":0,""language"":""DOS Batch"",""blankLines"":32},{""codeLines"":294,""commentLines"":98,""language"":""Java"",""blankLines"":79}]",2024-12-21T01:36:32,c0ce30341249516f8979f0abd8f92c5bd834fc66,TRUE,FALSE,FALSE,FALSE,"{""Java"":13116}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,idempotent;java;redis;redisson;spring-boot
3264025,anggrayudi/android-hidden-api,FALSE,92,1,2,643,Java,master,Apache License 2.0,,132,3463,3,334972,2015-09-16T11:58:33,2025-01-17T11:02:07,2025-01-17T07:09:44,89,40,4,0,295,1511,522,"[{""codeLines"":441,""commentLines"":349,""language"":""Java"",""blankLines"":121},{""codeLines"":47,""commentLines"":4,""language"":""YAML"",""blankLines"":10},{""codeLines"":154,""commentLines"":10,""language"":""Gradle"",""blankLines"":27},{""codeLines"":89,""commentLines"":0,""language"":""Markdown"",""blankLines"":32},{""codeLines"":356,""commentLines"":2,""language"":""XML"",""blankLines"":16},{""codeLines"":149,""commentLines"":37,""language"":""Bourne Shell"",""blankLines"":26},{""codeLines"":74,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":24},{""codeLines"":0,""commentLines"":18,""language"":""ProGuard"",""blankLines"":3},{""codeLines"":173,""commentLines"":81,""language"":""Kotlin"",""blankLines"":36},{""codeLines"":28,""commentLines"":19,""language"":""Properties"",""blankLines"":0}]",2025-01-17T11:02:03,773d56dc82a162d342a9efd43c4d64fb23d515c8,TRUE,FALSE,FALSE,FALSE,"{""Java"":33563,""Kotlin"":362}",bug;duplicate;enhancement;help wanted;ide error;invalid;question;wontfix,android;android-framework;api;internal-resources;java
3265347,vinhkhuc/jfasttext,FALSE,57,3,4,99,Java,master,Other,,21,215,1,59,2017-02-05T11:33:29,2023-05-29T10:07:01,2023-05-27T01:02:33,53,41,13,5,222,1279,84,"[{""codeLines"":153,""commentLines"":0,""language"":""Markdown"",""blankLines"":40},{""codeLines"":73,""commentLines"":11,""language"":""C/C++ Header"",""blankLines"":10},{""codeLines"":10,""commentLines"":2,""language"":""YAML"",""blankLines"":0},{""codeLines"":60,""commentLines"":9,""language"":""Bourne Shell"",""blankLines"":21},{""codeLines"":164,""commentLines"":9,""language"":""C++"",""blankLines"":35},{""codeLines"":246,""commentLines"":1,""language"":""Maven"",""blankLines"":12},{""codeLines"":573,""commentLines"":52,""language"":""Java"",""blankLines"":104}]",2023-05-29T10:05:44,130e5e0243e8946124ba8bfa7ab81175bb1995b7,TRUE,FALSE,FALSE,FALSE,"{""Java"":26924,""C++"":9074}",bug;dependencies;duplicate;enhancement;help wanted;invalid;question;wontfix,java;jni;machine-learning;model-compression;nlp;text-classification;word-embeddings
